k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0	0	4.00849	0.4308	0.06246	0.00236	0	0.11792	0.52047	0	0.06228	0.10207	0.26031	0.00926	0.09816	0	0.07485	0.11284	0	0	0.00727	0	0	0.19762	0	0	0	0	0	0	0.07591	0.16507	0.29592	0.10813	0	0	0.04619	0.00352	0.61713	0	0	0.18232	0	0.1683	0	0	0.13291	0	0	0	0.14825	0	0.05166	0.02191	1.93607	0	0.32971	0.16961	0	0	0	0	0	0	0	0	0	0	0	0	0.70126	0.7733	0.03771	0	1.11836	0	0.53685	0	0	0	1.14118	0	0	0	0.01347	0	2.50281	0.47304	1.05577	0	0	0.3091	0	0	0.06141	0.44732	0	1.67553	0	0	0.08104	5.75054	4.14487	0	0	0.18806	0	0	0.02112	0	0	0	0	0.46246	0.17338	0	0.2502	0.00348	1.40757	0.04053	0	0	1.59248	0	1.35524	0	0	0	1.55328	0.29006	0	0	0.15	0	0	0	0	0	0.158	0	0	0	0.15083	0	0	0	0	0.02266	0	0	1.71397	0.01537	0.48402	0.17786	0	1.42762	0	0	0.54423	0.95025	0	0.48146	0.00231	0	0	0	0.03636	0.48627	0	5.75804	0	0	0	0	0.00445	0	0	0	0	0.06658	0.16094	0	0.00687	0.00133	0	0.09348	0	0	0	0.03514	0	0	0.01311	0	0	0	0.02434	0.58825	0.02332	0.02333	0	0.01766	0	0	0	0.19965	0.44951	0.27642	0	0	0.09639	0	0.04008	0.5863	0.47315	0.04491	0.00742	0	0.05978	0.30625	0	0	0	0	0	0.0248	0.16598	0.37067	0	0	0.25345	0.04079	0	0.5494	0.08795	0.27118	0.186	0.26938	0.11519	0.00088	0	0.31449	0.11213	0.75546	0.1168	0	0	0.11025	0.42025	0	0.07846	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0.02336	0	0.01372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01233	0	0	0	0	0	0	0	0	0	0	0	0	0.03781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04446	0	0	0	0	0	0	0.09043	0	0	0	0	0	0.00606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00195	0	0	0	0	0.02979	0	0.00127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified	0	0	0	0	0.00979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0.05426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00081	0	0	0	0	0.01148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00082	0	0	0.02391	0	0.0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00134	0	0	0	0.00328	0	0	0	0.00342	0	0	0	0	0	0.00256	0	0	0	0	0	0	0	0	0.00091	0.00123	0	0	0	0	0.0143	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia	0.04105	0	0.00158	0.00283	0	0	0	0.00062	0	0	0	0.01755	0	0	0	0	0	0	0.03486	0	0	0	0.00369	0.00232	0.00259	0	0	0	0	0	0	0	0	0	0.00343	0	0	0	0	0	0	0	0	0	0	0	0.00024	0	0.00161	0	0	0	0	0	0.00582	0	0	0	0	0	0	0.01405	0	0	0	0	0	0	0	0	0.00093	0	0	0	0.00101	0	0	0	0	0	0	0	0	0.0024	0.00098	0	0.01177	0.00394	0.00595	0	0	0	0	0	0	0	0.00477	0	0	0	0	0	0	0	0	0.00652	0	0.00061	0	0	0	0.00043	0	0	0	0	0.00052	0.0056	0	0	0	0	0	0.0042	0	0	0.0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00249	0	0.01654	0.01499	0.00444	0	0	0.01081	0	0	0	0	0	0.00075	0	0	0	0	0.02372	0	0.00363	0	0	0.00729	0	0.02585	0	0.01642	0	0	0	0.00177	0	0	0	0.00011	0.00012	0	0	0	0	0	0.01662	0	0.00138	0.00445	0.00629	0.00584	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00045	0	0.00147	0.00196	0	0	0.02821	0	0	0	0.00523	0	0	0	0.00083	0.00214	0	0	0.00485	0	0.00583	0	0	0	0.01323	0	0	0.00137	0	0	0.00144	0	0	0	0	0	0	0.01777	0	0.01952	0.00042	0.00012	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.54305	0.03239	1.38628	3.80498	0.29092	0	1.92085	0	2.6219	0.01929	0.97696	0.85011	0.70649	0.18414	0.59103	0.1012	2.43443	0	0.04611	0.80589	0.76016	0.59405	7.95302	4.64746	0.78668	0.68988	0	0.78376	1.78836	0.36228	0.11715	0.33643	2.20171	1.63577	0.617	0.16244	0.47	1.81086	0.91705	0	1.28593	0.25503	0.50411	3.79906	0.68824	3.44564	0.52152	1.05935	0.63299	0.58706	0.88266	0.45324	0.85675	0.25474	0.00299	0	0.47458	0.50453	1.52294	0.07321	0.2667	6.32834	0.67334	0.42574	2.23014	0.04028	0.84271	0.03926	0.06402	0.27911	0.05125	0.48286	0.52257	1.25343	1.45716	1.59555	2.5966	0.40645	0.26799	0.26982	1.16496	0.13161	0.2228	0.88248	0.05361	0.5126	4.73721	3.22523	0.5907	2.83041	0.41911	0.13115	0.06666	1.71534	1.0233	0.28143	0.50807	0.72428	0.26196	1.23092	0.11276	7.71538	2.44288	0.26855	1.18503	2.19248	3.48691	0.30938	1.50684	1.26355	0.10201	0.16851	0.94625	0.20191	0.03045	0.60797	0.8044	2.56649	7.85544	0.0572	1.80546	0	1.9875	0.62754	2.44983	0.58837	3.92401	3.13883	3.76697	0.38154	0	0.79769	0.36133	0.56954	0.59843	1.5492	0.101	1.17057	1.3251	0.13181	0.13773	0.00984	4.66397	0	0.16429	0.56325	1.17875	0	1.04022	12.63868	5.89686	16.3519	2.32984	0.84123	1.1604	3.29981	0.12955	3.18839	2.13569	12.48048	0.48347	2.16158	2.01462	0.1551	1.34031	2.05789	0.25424	2.18685	1.40458	0.00212	7.22927	1.95823	1.10672	0.00087	0.72519	3.47379	0.01192	3.38689	0.71652	0.86364	0	0.69029	3.74354	3.09978	5.74616	2.43508	0.0106	2.30699	4.53475	0.61159	0.52871	3.73277	0	0.95973	0.96849	0.48139	0.20724	0.78491	0.50287	0.3237	0	3.45771	0.01472	0.70943	1.08066	1.2138	0.90658	0.40672	1.01175	2.91205	1.99378	2.29469	0.06896	0.88948	1.57856	1.21865	2.21386	0.0122	0.69832	0.12488	3.81816	1.48822	0.00053	0.35304	0.70493	0.41386	4.31201	3.87235	8.40956	0.55306	0.52584	0.26848	0.21757	0.47151	3.82864	2.06973	6.06839	0.59081	0.92845	0.0063	1.98114	0.80602	1.36867	6.54515	0	1.58289	3.89748	0.03626	5.33599	0.64829	1.3919	0.00077	5.55645
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00866	0	0	0	0	0	0	0	0	0	0	0	0.01028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia	0.05124	0	0	0.03053	0.01767	0.07062	0.08578	0.00362	0	0.07456	0.02091	0	0	0	0.02761	0	0.04252	0.0083	0.01084	0	0	0	0.05867	0.00558	0.00113	0.0172	0.01423	0	0.00616	0.09468	0	0	0	0.03958	0	0	0.06305	0.06785	0.13329	0.00246	0.1981	0	0.00058	0.0883	0	0.01043	0.00088	0.03371	0	0.01839	0.012	0.07295	0.00312	0	0	0.04835	0.00077	0.01131	0.00974	0.00394	0	0.51178	0	0.05994	0.05077	0.01316	0.04528	0	0	0	0	0.01671	0.02313	0	0.02058	0.09223	0.02588	0.00136	0	0.01136	0	0.00016	0.06207	0	0	0	0.00136	0.01407	0	0.04237	0.00161	0.00263	0	0.01168	0.01864	0.00373	0.01678	0	0	0.05752	0	0.33693	0	0.03075	0.13325	0.00555	0.057	0	0	0.01269	0.00903	0.00624	0	0.01389	0.0451	0.07446	0	0	0.00282	0	0.01512	0	0	0.00961	0.03116	0.05129	0.03539	0.19226	0.00648	0.0121	0.25449	0	0.06636	0.01382	0.00225	0.01456	0	0.02464	0.01667	0.05769	0.02271	0.03373	0	0.03589	0	0.03605	0.0233	0.00487	0.002	0.09842	0	0.09566	0.24775	0.1083	0.00369	0.04117	0	0.05076	0.00314	0.75613	0	0	0.01411	0.08377	0.04291	0.00699	0.02525	0	0	0.47473	0.05619	0	0.06246	0.35918	0	0	0.06548	0.01679	0.07803	0.00182	0.09398	0.05528	0.00616	0.06255	0.00757	0	0	0	0.01226	0	0.03159	0	0.05296	0	0.00226	0.03124	0.00362	0.01254	0.00468	0	0	0.04969	0.01781	0.00329	0.09544	0	0.00622	0.0237	0	0.01762	0.01348	0.00548	0.01592	0.04669	0.00031	0	0	0	0.01523	0.10184	0.00562	0.07441	0.04411	0.01698	0.00455	0	0	0.00856	0.05402	0.00848	0.09011	0	0.0121	0	0.0003	0.01372	0.0086	0	0.00027	0	0.17262	0.03556	0	0.02641	0	0.02626	0.1614	0.01026	0.01972	0.16492	0.00012	0.12191	0.05952
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium	0.00248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0259	0	0	0	0	0	0	0.00175	0.00287	0	0	0	0	0	0	0	0	0	0	0	0	0.00292	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00196	0	0	0	0	0	0	0	0.00089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075	0	0	0	0	0	0	0	0	0	0	0	0	0.00378	0	0	0	0	0	0	0	0	0	0	0.00055	0	0	0.01393	0	0.00731	0.0004	0	0.00057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00077	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00673	0	0	0	0	0	0	0	0	0	0	0	0	0.00088	0.00111	0.00685	0	0	0	0	0	0	0	0	0	0
